"state","continent","total_arrivals"
"Johor","Africa",21884
"Johor","Antarctica",2
"Johor","Asia",29380526
"Johor","Europe",319673
"Johor","North America",122783
"Johor","Oceania",128338
"Johor","South America",9942
"Kedah","Africa",2027
"Kedah","Asia",1958000
"Kedah","Europe",115016
"Kedah","North America",15306
"Kedah","Oceania",14761
"Kedah","South America",3159
"Kelantan","Africa",160
"Kelantan","Asia",829381
"Kelantan","Europe",3460
"Kelantan","North America",416
"Kelantan","Oceania",246
"Kelantan","South America",85
"Melaka","Africa",23
"Melaka","Asia",116081
"Melaka","Europe",380
"Melaka","North America",86
"Melaka","Oceania",77
"Melaka","South America",24
"Negeri Sembilan","Asia",144028
"Negeri Sembilan","Europe",136
"Negeri Sembilan","North America",7
"Negeri Sembilan","Oceania",22
"Pahang","Africa",27
"Pahang","Asia",10753
"Pahang","Europe",1139
"Pahang","North America",247
"Pahang","Oceania",430
"Pahang","South America",15
"Perak","Africa",114
"Perak","Asia",355007
"Perak","Europe",4944
"Perak","North America",3434
"Perak","Oceania",5033
"Perak","South America",107
"Perlis","Africa",465
"Perlis","Asia",1359369
"Perlis","Europe",20232
"Perlis","North America",3087
"Perlis","Oceania",2052
"Perlis","South America",410
"Pulau Pinang","Africa",2245
"Pulau Pinang","Asia",1377758
"Pulau Pinang","Europe",85636
"Pulau Pinang","North America",49865
"Pulau Pinang","Oceania",44443
"Pulau Pinang","South America",1075
"Sabah","Africa",730
"Sabah","Antarctica",1
"Sabah","Asia",553344
"Sabah","Europe",25131
"Sabah","North America",9800
"Sabah","Oceania",9436
"Sabah","South America",401
"Sarawak","Africa",4785
"Sarawak","Asia",2517657
"Sarawak","Europe",43583
"Sarawak","North America",12641
"Sarawak","Oceania",15188
"Sarawak","South America",440
"Selangor","Africa",230339
"Selangor","Antarctica",11
"Selangor","Asia",9882295
"Selangor","Europe",1437933
"Selangor","North America",403152
"Selangor","Oceania",550515
"Selangor","South America",44650
"Terengganu","Africa",5
"Terengganu","Asia",131
"Terengganu","Europe",25
"Terengganu","North America",9
"Terengganu","Oceania",11
"W.P. Labuan","Africa",130
"W.P. Labuan","Asia",33697
"W.P. Labuan","Europe",1926
"W.P. Labuan","North America",290
"W.P. Labuan","Oceania",282
"W.P. Labuan","South America",18
