"continent","country","state","total_arrivals"
"Africa","Algeria","Johor",738
"Africa","Algeria","Kedah",114
"Africa","Algeria","Kelantan",5
"Africa","Algeria","Melaka",1
"Africa","Algeria","Perak",3
"Africa","Algeria","Perlis",24
"Africa","Algeria","Pulau Pinang",58
"Africa","Algeria","Sabah",33
"Africa","Algeria","Sarawak",72
"Africa","Algeria","Selangor",16715
"Africa","Algeria","W.P. Labuan",1
"Africa","Angola","Johor",7
"Africa","Angola","Kedah",3
"Africa","Angola","Sabah",1
"Africa","Angola","Selangor",124
"Africa","Benin","Johor",19
"Africa","Benin","Kedah",6
"Africa","Benin","Perak",3
"Africa","Benin","Pulau Pinang",2
"Africa","Benin","Sabah",5
"Africa","Benin","Sarawak",3
"Africa","Benin","Selangor",203
"Africa","Botswana","Johor",39
"Africa","Botswana","Kedah",11
"Africa","Botswana","Perlis",1
"Africa","Botswana","Pulau Pinang",4
"Africa","Botswana","Sabah",1
"Africa","Botswana","Sarawak",5
"Africa","Botswana","Selangor",357
"Africa","Burkina Faso","Johor",2
"Africa","Burkina Faso","Perak",1
"Africa","Burkina Faso","Pulau Pinang",5
"Africa","Burkina Faso","Selangor",141
"Africa","Burundi","Pulau Pinang",2
"Africa","Burundi","Sarawak",1
"Africa","Burundi","Selangor",126
"Africa","Cameroon","Johor",41
"Africa","Cameroon","Kedah",8
"Africa","Cameroon","Pulau Pinang",15
"Africa","Cameroon","Sabah",5
"Africa","Cameroon","Sarawak",6
"Africa","Cameroon","Selangor",584
"Africa","Cape Verde","Johor",7
"Africa","Cape Verde","Kedah",2
"Africa","Cape Verde","Pulau Pinang",1
"Africa","Cape Verde","Sabah",1
"Africa","Cape Verde","Selangor",55
"Africa","Central African Republic","Kedah",1
"Africa","Central African Republic","Selangor",11
"Africa","Chad","Johor",54
"Africa","Chad","Kedah",3
"Africa","Chad","Perlis",3
"Africa","Chad","Selangor",507
"Africa","Comoros","Johor",20
"Africa","Comoros","Kedah",4
"Africa","Comoros","Selangor",404
"Africa","Cote dIvoire","Johor",23
"Africa","Cote dIvoire","Kedah",3
"Africa","Cote dIvoire","Pulau Pinang",4
"Africa","Cote dIvoire","Sabah",1
"Africa","Cote dIvoire","Sarawak",1
"Africa","Cote dIvoire","Selangor",527
"Africa","DR Congo","Johor",23
"Africa","DR Congo","Pulau Pinang",1
"Africa","DR Congo","Sarawak",2
"Africa","DR Congo","Selangor",261
"Africa","Democratic Republic of the Congo","Selangor",7
"Africa","Djibouti","Johor",4
"Africa","Djibouti","Selangor",350
"Africa","Egypt","Johor",4473
"Africa","Egypt","Kedah",167
"Africa","Egypt","Kelantan",32
"Africa","Egypt","Melaka",7
"Africa","Egypt","Pahang",2
"Africa","Egypt","Perak",8
"Africa","Egypt","Perlis",23
"Africa","Egypt","Pulau Pinang",202
"Africa","Egypt","Sabah",99
"Africa","Egypt","Sarawak",2139
"Africa","Egypt","Selangor",41074
"Africa","Egypt","Terengganu",2
"Africa","Egypt","W.P. Labuan",13
"Africa","Equatorial Guinea","Johor",2
"Africa","Equatorial Guinea","Selangor",46
"Africa","Eritrea","Johor",9
"Africa","Eritrea","Pulau Pinang",2
"Africa","Eritrea","Sabah",2
"Africa","Eritrea","Selangor",397
"Africa","Ethiopia ","Johor",51
"Africa","Ethiopia ","Kedah",1
"Africa","Ethiopia ","Pulau Pinang",6
"Africa","Ethiopia ","Sabah",1
"Africa","Ethiopia ","Sarawak",8
"Africa","Ethiopia ","Selangor",863
"Africa","Gabon","Johor",33
"Africa","Gabon","Pulau Pinang",1
"Africa","Gabon","Sarawak",1
"Africa","Gabon","Selangor",191
"Africa","Gambia","Johor",65
"Africa","Gambia","Kedah",1
"Africa","Gambia","Kelantan",2
"Africa","Gambia","Pulau Pinang",5
"Africa","Gambia","Sabah",4
"Africa","Gambia","Sarawak",3
"Africa","Gambia","Selangor",593
"Africa","Ghana","Johor",179
"Africa","Ghana","Kedah",13
"Africa","Ghana","Kelantan",2
"Africa","Ghana","Perlis",2
"Africa","Ghana","Pulau Pinang",21
"Africa","Ghana","Sabah",7
"Africa","Ghana","Sarawak",13
"Africa","Ghana","Selangor",1634
"Africa","Guinea","Johor",114
"Africa","Guinea","Kedah",9
"Africa","Guinea","Kelantan",7
"Africa","Guinea","Perlis",9
"Africa","Guinea","Pulau Pinang",2
"Africa","Guinea","Sabah",3
"Africa","Guinea","Sarawak",4
"Africa","Guinea","Selangor",1222
"Africa","Guinea-Bissau","Johor",9
"Africa","Guinea-Bissau","Selangor",11
"Africa","Kenya","Johor",1488
"Africa","Kenya","Kedah",83
