"state","year","month","total_arrivals"
"Johor","2020","Jan",1621342
"Johor","2020","Feb",1093393
"Johor","2020","Mar",669730
"Johor","2020","Apr",296
"Johor","2020","May",221
"Johor","2020","Jun",387
"Johor","2020","Jul",811
"Johor","2020","Aug",831
"Johor","2020","Sep",1314
"Johor","2020","Oct",1154
"Johor","2020","Nov",1017
"Johor","2020","Dec",947
"Johor","2021","Jan",752
"Johor","2021","Feb",819
"Johor","2021","Mar",932
"Johor","2021","Apr",842
"Johor","2021","May",447
"Johor","2021","Jun",134
"Johor","2021","Jul",197
"Johor","2021","Aug",185
"Johor","2021","Sep",206
"Johor","2021","Oct",306
"Johor","2021","Nov",620
"Johor","2021","Dec",3185
"Johor","2022","Jan",4815
"Johor","2022","Feb",3236
"Johor","2022","Mar",8338
"Johor","2022","Apr",435627
"Johor","2022","May",709739
"Johor","2022","Jun",943070
"Johor","2022","Jul",1125824
"Johor","2022","Aug",1122204
"Johor","2022","Sep",1202300
"Johor","2022","Oct",1207865
"Johor","2022","Nov",1214494
"Johor","2022","Dec",1395453
"Johor","2023","Jan",1233914
"Johor","2023","Feb",1095887
"Johor","2023","Mar",1301505
"Johor","2023","Apr",1227282
"Johor","2023","May",1298449
"Johor","2023","Jun",1510258
"Johor","2023","Jul",1545876
"Johor","2023","Aug",1510402
"Johor","2023","Sep",1599473
"Johor","2023","Oct",1575576
"Johor","2023","Nov",1558357
"Johor","2023","Dec",1753136
"Kedah","2020","Jan",85055
"Kedah","2020","Feb",64404
"Kedah","2020","Mar",37164
"Kedah","2020","Apr",13837
"Kedah","2020","May",12924
"Kedah","2020","Jun",11743
"Kedah","2020","Jul",10020
"Kedah","2020","Aug",10339
"Kedah","2020","Sep",9295
"Kedah","2020","Oct",9606
"Kedah","2020","Nov",10592
"Kedah","2020","Dec",14207
"Kedah","2021","Jan",17928
"Kedah","2021","Feb",16131
"Kedah","2021","Mar",19205
"Kedah","2021","Apr",17851
"Kedah","2021","May",18426
"Kedah","2021","Jun",16891
"Kedah","2021","Jul",17481
"Kedah","2021","Aug",16343
"Kedah","2021","Sep",18833
"Kedah","2021","Oct",19383
"Kedah","2021","Nov",18318
"Kedah","2021","Dec",18257
"Kedah","2022","Jan",18605
"Kedah","2022","Feb",16919
"Kedah","2022","Mar",20277
"Kedah","2022","Apr",21175
"Kedah","2022","May",31732
"Kedah","2022","Jun",43806
"Kedah","2022","Jul",53767
"Kedah","2022","Aug",49020
"Kedah","2022","Sep",53683
"Kedah","2022","Oct",76663
"Kedah","2022","Nov",74447
"Kedah","2022","Dec",76986
"Kedah","2023","Jan",85205
"Kedah","2023","Feb",82845
"Kedah","2023","Mar",100610
"Kedah","2023","Apr",85735
"Kedah","2023","May",90999
"Kedah","2023","Jun",77062
"Kedah","2023","Jul",85594
"Kedah","2023","Aug",76752
"Kedah","2023","Sep",85825
"Kedah","2023","Oct",98787
"Kedah","2023","Nov",90706
"Kedah","2023","Dec",106836
"Kelantan","2020","Jan",40002
"Kelantan","2020","Feb",39680
"Kelantan","2020","Mar",20605
"Kelantan","2020","Apr",22
"Kelantan","2020","May",18
"Kelantan","2020","Jun",21
"Kelantan","2020","Jul",9
"Kelantan","2020","Aug",3
"Kelantan","2020","Sep",7
"Kelantan","2020","Oct",1
"Kelantan","2020","Nov",5
"Kelantan","2020","Dec",2
"Kelantan","2021","Feb",3
"Kelantan","2021","Mar",4
"Kelantan","2021","Apr",5
"Kelantan","2021","May",1
"Kelantan","2021","Jun",1
"Kelantan","2021","Jul",3
"Kelantan","2021","Sep",6
"Kelantan","2021","Nov",4
"Kelantan","2022","Jan",4
"Kelantan","2022","Feb",15
"Kelantan","2022","Mar",14
"Kelantan","2022","Apr",8
"Kelantan","2022","May",3846
"Kelantan","2022","Jun",8887
"Kelantan","2022","Jul",16008
"Kelantan","2022","Aug",29539
"Kelantan","2022","Sep",30029
"Kelantan","2022","Oct",38130
"Kelantan","2022","Nov",33210
"Kelantan","2022","Dec",26457
"Kelantan","2023","Jan",49954
"Kelantan","2023","Feb",51162
"Kelantan","2023","Mar",58591
"Kelantan","2023","Apr",46894
"Kelantan","2023","May",52301
"Kelantan","2023","Jun",36762
"Kelantan","2023","Jul",50016
"Kelantan","2023","Aug",35798
"Kelantan","2023","Sep",35224
