"state","month","2020","2021","2022","2023"
"Johor",1,1621342,752,4815,1233914
"Johor",2,1093393,819,3236,1095887
"Johor",3,669730,932,8338,1301505
"Johor",4,296,842,435627,1227282
"Johor",5,221,447,709739,1298449
"Johor",6,387,134,943070,1510258
"Johor",7,811,197,1125824,1545876
"Johor",8,831,185,1122204,1510402
"Johor",9,1314,206,1202300,1599473
"Johor",10,1154,306,1207865,1575576
"Johor",11,1017,620,1214494,1558357
"Johor",12,947,3185,1395453,1753136
"Kedah",1,85055,17928,18605,85205
"Kedah",2,64404,16131,16919,82845
"Kedah",3,37164,19205,20277,100610
"Kedah",4,13837,17851,21175,85735
"Kedah",5,12924,18426,31732,90999
"Kedah",6,11743,16891,43806,77062
"Kedah",7,10020,17481,53767,85594
"Kedah",8,10339,16343,49020,76752
"Kedah",9,9295,18833,53683,85825
"Kedah",10,9606,19383,76663,98787
"Kedah",11,10592,18318,74447,90706
"Kedah",12,14207,18257,76986,106836
"Kelantan",1,40002,0,4,49954
"Kelantan",2,39680,3,15,51162
"Kelantan",3,20605,4,14,58591
"Kelantan",4,22,5,8,46894
"Kelantan",5,18,1,3846,52301
"Kelantan",6,21,1,8887,36762
"Kelantan",7,9,3,16008,50016
"Kelantan",8,3,0,29539,35798
"Kelantan",9,7,6,30029,35224
"Kelantan",10,1,0,38130,47679
"Kelantan",11,5,4,33210,40481
"Kelantan",12,2,0,26457,42337
"Melaka",1,6014,0,0,5387
"Melaka",2,3236,0,0,5254
"Melaka",3,1040,2,13,4596
"Melaka",10,2,0,6778,3539
"Melaka",12,10,0,8007,5419
"Melaka",7,0,2,6265,5261
"Melaka",11,0,3,5202,3716
"Melaka",4,0,0,16,5639
"Melaka",5,0,0,2979,5255
"Melaka",6,0,0,5730,5218
"Melaka",8,0,0,6512,3466
"Melaka",9,0,0,7883,4227
"Negeri Sembilan",1,3398,0,0,8081
"Negeri Sembilan",2,3259,0,0,9828
"Negeri Sembilan",3,1694,0,0,8450
"Negeri Sembilan",4,1,0,6,4340
"Negeri Sembilan",5,0,0,2778,14303
"Negeri Sembilan",6,0,0,5760,5034
"Negeri Sembilan",7,0,0,6090,6499
"Negeri Sembilan",8,0,0,7508,7275
"Negeri Sembilan",9,0,0,6848,6045
"Negeri Sembilan",10,0,0,7422,5098
"Negeri Sembilan",11,0,0,6805,5535
"Negeri Sembilan",12,0,0,7009,5127
"Pahang",1,1068,0,0,502
"Pahang",2,449,0,0,219
"Pahang",3,271,1,0,261
"Pahang",5,2,3,92,804
"Pahang",9,1,0,230,1103
"Pahang",12,1,0,721,1284
"Pahang",4,0,3,41,838
"Pahang",6,0,0,53,998
"Pahang",7,0,0,85,716
"Pahang",8,0,0,190,752
"Pahang",10,0,0,132,971
"Pahang",11,0,0,59,761
"Perak",1,21160,9,13,15176
"Perak",2,15687,6,13,15979
"Perak",3,9614,4,8,21197
"Perak",4,2,10,1241,19130
"Perak",6,5,1,7695,18569
